hitid,prediction,actual,classification,negation,modQ,modA,score
2,no,no,negation_cnn.txt,not,great,great,same jj
3,no,no,negation_cnn.txt,not at all,frustrated,frustrated,same jj
4,no,no,negation_cnn.txt,not,bitter,bitter,same jj
5,no,no,negation_cnn.txt,not,true,true,same jj
6,no,no,negation_cnn.txt,not,unusual,unusual,same jj
7,no,no,negation_cnn.txt,not,necessary,necessary,same jj
8,no,no,negation_cnn.txt,neg_context,thin,thin,same jj
9,no,no,negation_cnn.txt,not,bad,bad,same jj
10,no,no,negation_cnn.txt,not,good,good,same jj
11,no,no,negation_cnn.txt,not,crazy,crazy,same jj
12,no,no,negation_cnn.txt,not,true,true,same jj
13,no,no,negation_cnn.txt,not,familiar,familiar,same jj
14,no,no,negation_cnn.txt,not,true,true,same jj
15,no,no,negation_cnn.txt,not,hard,hard,same jj
16,no,no,negation_cnn.txt,neg_context,fair,fair,same jj
17,no,no,negation_cnn.txt,not,fair,fair,same jj
18,no,no,negation_cnn.txt,not,satisfied,satisfied,same jj
19,no,no,negation_cnn.txt,neg_context,good,good,same jj
20,no,no,negation_cnn.txt,absolutely not,true,true,same jj
21,no,no,negation_cnn.txt,not,optimistic,optimistic,same jj
22,no,no,negation_cnn.txt,not,aware,aware,same jj
23,yes,yes,avoided_adjective.txt,,huge gap,,na
24,yes,yes,avoided_adjective.txt,,broad repercussions,,na
25,yes,yes,avoided_adjective.txt,,quite important,,na
26,yes,yes,avoided_adjective.txt,,significant rain,,na
27,yes,yes,adverb_adjectives_cnn.txt,,unusual,unusual,same jj
28,uncertain,yes,adverb_adjectives_cnn.txt,,still,always,default
29,yes,yes,adverb_adjectives_cnn.txt,,happy,happy,same jj
30,yes,yes,adverb_adjectives_cnn.txt,,nervous,nervous,same jj
31,yes,yes,adverb_adjectives_cnn.txt,,responsible,responsible,same jj
32,yes,yes,adverb_adjectives_cnn.txt,,difficult,difficult,same jj
33,yes,yes,adverb_adjectives_cnn.txt,,optimistic,optimistic,same jj
34,yes,yes,adverb_adjectives_cnn.txt,,accurate,accurate,same jj
35,yes,yes,adverb_adjectives_cnn.txt,,happy,happy,same jj
36,yes,yes,adverb_adjectives_cnn.txt,,different,different,same jj
37,yes,yes,adverb_adjectives_cnn.txt,,true,true,same jj
38,yes,yes,adverb_adjectives_cnn.txt,,true,true,same jj
39,yes,yes,adverb_adjectives_cnn.txt,,related,related,same jj
