hitid,prediction,actual,classification,negation,modQ,modA,score
2,no,no,negation_cnn.txt,not,great,great,0
3,no,no,negation_cnn.txt,not at all,frustrated,frustrated,0
4,no,no,negation_cnn.txt,not,bitter,bitter,0
5,uncertain,no,negation_cnn.txt,not,true,true,missing jj
6,no,no,negation_cnn.txt,not,unusual,unusual,0
7,uncertain,no,negation_cnn.txt,not,necessary,necessary,missing jj
8,uncertain,no,negation_cnn.txt,neg_context,thin,thin,missing jj
9,no,no,negation_cnn.txt,not,bad,bad,0
10,no,no,negation_cnn.txt,not,good,good,0
11,no,no,negation_cnn.txt,not,crazy,crazy,0
12,uncertain,no,negation_cnn.txt,not,true,true,missing jj
13,no,no,negation_cnn.txt,not,familiar,familiar,0
14,uncertain,no,negation_cnn.txt,not,true,true,missing jj
15,no,no,negation_cnn.txt,not,hard,hard,0
16,no,no,negation_cnn.txt,neg_context,fair,fair,0
17,no,no,negation_cnn.txt,not,fair,fair,0
18,uncertain,no,negation_cnn.txt,not,satisfied,satisfied,missing jj
19,no,no,negation_cnn.txt,neg_context,good,good,0
20,uncertain,no,negation_cnn.txt,absolutely not,true,true,missing jj
21,no,no,negation_cnn.txt,not,optimistic,optimistic,0
22,uncertain,no,negation_cnn.txt,not,aware,aware,missing jj
23,yes,yes,avoided_adjective.txt,,huge,,1
24,no,yes,avoided_adjective.txt,,broad,,
25,no,yes,avoided_adjective.txt,,quite,,
26,yes,yes,avoided_adjective.txt,,significant,,1
27,yes,yes,adverb_adjectives_cnn.txt,,unusual,unusual,0
28,uncertain,yes,adverb_adjectives_cnn.txt,,still,always,missing jj
29,yes,yes,adverb_adjectives_cnn.txt,,happy,happy,0
30,yes,yes,adverb_adjectives_cnn.txt,,nervous,nervous,0
31,yes,yes,adverb_adjectives_cnn.txt,,responsible,responsible,0
32,yes,yes,adverb_adjectives_cnn.txt,,difficult,difficult,0
33,yes,yes,adverb_adjectives_cnn.txt,,optimistic,optimistic,0
34,yes,yes,adverb_adjectives_cnn.txt,,accurate,accurate,0
35,yes,yes,adverb_adjectives_cnn.txt,,happy,happy,0
36,uncertain,yes,adverb_adjectives_cnn.txt,,different,different,missing jj
37,uncertain,yes,adverb_adjectives_cnn.txt,,true,true,missing jj
38,uncertain,yes,adverb_adjectives_cnn.txt,,true,true,missing jj
39,uncertain,yes,adverb_adjectives_cnn.txt,,related,related,missing jj
40,yes,yes,adverb_adjectives_cnn.txt,,powerful,powerful,0
41,uncertain,yes,adverb_adjectives_cnn.txt,,highly,very,missing jj
42,yes,yes,adverb_adjectives_cnn.txt,,correct,correct,0
43,uncertain,yes,adverb_adjectives_cnn.txt,,surprised,surprised,missing jj
44,yes,yes,adverb_adjectives_cnn.txt,,strong,strong,0
45,yes,yes,adverb_adjectives_cnn.txt,,good,good,0
46,uncertain,yes,adverb_adjectives_cnn.txt,,too thin,thin,missing jj
47,uncertain,yes,adverb_adjectives_cnn.txt,,open,open,missing jj
48,uncertain,yes,adverb_adjectives_cnn.txt,,close,close,missing jj
49,yes,yes,adverb_adjectives_cnn.txt,,fair,fair,0
50,yes,yes,adverb_adjectives_cnn.txt,,possible,possible,0
51,yes,yes,adverb_adjectives_cnn.txt,,hard,hard,0
52,yes,yes,adverb_adjectives_cnn.txt,,correct,correct,0
53,yes,yes,adverb_adjectives_cnn.txt,,optimistic,optimistic,0
54,yes,yes,adverb_adjectives_cnn.txt,,optimistic,optimistic,0
55,yes,yes,adverb_adjectives_cnn.txt,,right,right,0
56,uncertain,yes,adverb_adjectives_cnn.txt,,true,true,missing jj
57,uncertain,yes,adverb_adjectives_cnn.txt,,true,true,missing jj
58,yes,yes,adverb_adjectives_cnn.txt,,right,right,0
59,yes,yes,adverb_adjectives_cnn.txt,,interesting,interesting,0
60,yes,yes,adverb_adjectives_cnn.txt,,wrong,wrong,0
61,uncertain,yes,adverb_adjectives_cnn.txt,,different,different,missing jj
62,yes,yes,adverb_adjectives_cnn.txt,,better,better,0
63,uncertain,yes,adverb_adjectives_cnn.txt,,similar,similar,missing jj
64,uncertain,yes,adverb_adjectives_cnn.txt,,true,true,missing jj
65,yes,yes,adverb_adjectives_cnn.txt,,optimistic,optimistic,0
66,uncertain,yes,adverb_adjectives_cnn.txt,,fair,as fair as you can get,missing jj
67,yes,yes,adverb_adjectives_cnn.txt,,good,good,0
68,uncertain,yes,adverb_adjectives_cnn.txt,,quite,very,missing jj
69,yes,yes,adverb_adjectives_cnn.txt,,worth,worth,0
70,yes,yes,adverb_adjectives_cnn.txt,,happy,happy,0
71,yes,yes,adverb_adjectives_cnn.txt,,good,good,0
72,yes,yes,adverb_adjectives_cnn.txt,,unusual,unusual,0
73,uncertain,yes,adverb_adjectives_cnn.txt,,significant,some,missing jj
74,yes,yes,adverb_adjectives_cnn.txt,,unusual,unusual,0
75,yes,yes,adverb_adjectives_cnn.txt,,optimistic,optimistic,0
